GENE_000,GENE_001,GENE_002,GENE_003,GENE_004,GENE_005,GENE_006,GENE_007,GENE_008,GENE_009
6.800815185010201,5.91752318234851,2.586758879709499,6.046078145447204,5.8335853745160975,5.304861178661568,4.3272422985122665,5.114142925882991,4.209954325182105,3.4328991948231176
7.163925326535245,5.531903234602831,5.1159573510958705,4.152554140674014,5.647032400605048,5.180399970030367,1.1821537909082473,4.742095413430683,4.233533545156698,4.485573265489737
5.354798118041912,4.559811216657064,3.9763763330529462,4.648220962961631,5.731366316089231,4.978221114282477,6.12647923028986,5.2554948450635655,4.713522210262531,4.556403629504603
4.888198410579342,5.369658183917574,3.5589111503828295,4.711800816399926,4.165626846704926,5.712437736243803,4.751735601094694,3.368434510772097,5.513121721495267,7.897110756158698
4.343198736255264,4.993755470525077,6.281651750177236,3.26341364120559,6.7269836671364125,3.8768689913790206,4.904271661958518,4.3771325230409674,6.3018886685454465,6.7331222672947035
6.5217759685343815,7.012115942980353,6.623023697228003,3.88953291547079,4.181716729288347,3.581964936215341,6.055057110680817,6.639192735051666,5.880434524743783,3.6568105560220436
5.500853376081905,7.32873040828574,6.790481043040796,4.133753665778226,6.1825804900716825,7.40221658702697,4.432884584707616,4.844481564647603,6.157708737330248,5.56587670932975
4.629032557044465,5.396119516136822,4.969683922384748,4.041596680893695,6.471176018934683,6.668202371875875,6.464076901307294,2.6063489394033033,6.494098800467363,5.187246901402199
5.1872456982962385,4.254194848031723,5.182706258973518,6.380796008765586,6.343788498762287,2.808692713030758,8.714846609418611,4.527821655356039,4.465950950904121,3.374602927184861
2.3437782456675973,5.118335601692543,5.002033275049677,5.372462924783892,8.020467740601303,5.358099742522368,3.4572423055571955,3.6878956800552505,6.964749252002006,6.7544151135130965
5.741861811825432,5.342691853511814,6.702741898705041,3.5370517224855327,6.8763473349499025,5.588047658317054,6.070445382054937,6.05370424621136,5.239753360314008,5.689724632562249
2.153147021288847,5.5779979914167255,3.4780932695561164,4.384387783732531,3.3977864422991386,5.420388046213339,7.3881335949931835,4.001637525815126,4.764092389476242,3.9740505571424176
6.759082195335922,4.50607307344692,3.833841867472487,6.058894085501159,4.245736919668217,4.006308930923327,6.6751867853622375,3.865278860699976,4.105929828929009,4.1160570206326526
4.381670580658455,5.609207899463107,3.8140415315206395,3.065077352101004,6.574896288624992,5.891541502638975,5.932955915037636,3.814148731288125,2.7517730431806333,5.386823455687848
5.480923739908543,5.188824799597987,5.917799676365313,5.671978139762446,5.740896677639365,5.766904368550744,6.243232934303027,6.287108236101394,5.249139977584153,4.352092578936563
4.067448447431678,4.125359746694645,4.079200886412864,3.19268701116179,4.304690816201147,6.1492532251755865,5.111432572402585,4.858254038308759,4.954314489292371,1.2677443032133389
4.270368800977438,4.693182775625168,5.530100159962422,4.6195998017863245,4.945985096770924,3.866712331484673,4.2521085647188315,6.144587895623602,5.384875960738601,5.729569462721186
5.168032298909969,4.383735356972544,4.242350373972655,5.046171020647691,6.030252434596926,4.145973974620923,5.25380845748749,5.021803784536659,4.478862728034855,5.492065210116689
6.43195955589333,5.090735440809988,5.826459703156928,4.445901812738333,7.8534223902457665,2.7387132807514942,3.876182464601598,6.710736681908979,5.712645979591417,6.687389010793247
3.8335791375695125,5.190490128169595,4.629413792714339,4.374646369088097,3.131159264008171,3.14731415144147,5.896289134965294,5.492070504153924,5.176568080933022,4.527627036126478
